title;author;detail;imageLink;amazonLink;genre
氷菓 (角川文庫);米澤 穂信;いつのまにか密室になった教室。毎週必ず借り出される本。あるはずの文集をないと言い張る少年。そして『氷菓』という題名の文集に秘められた三十三年前の真実―。何事にも積極的には関わろうとしない“省エネ”少年・折木奉太郎は、なりゆきで入部した古典部の仲間に依頼され、日常に潜む不思議な謎を次々と解き明かしていくことに。さわやかで、ちょっぴりほろ苦い青春ミステリ登場!第五回角川学園小説大賞奨励賞受賞。;https://images-na.ssl-images-amazon.com/images/I/51NIr+waJzL._SX353_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E6%B0%B7%E8%8F%93-%E8%A7%92%E5%B7%9D%E6%96%87%E5%BA%AB-%E7%B1%B3%E6%BE%A4-%E7%A9%82%E4%BF%A1/dp/4044271011/ref=bmx_24?_encoding=UTF8&pd_rd_i=4044271011&pd_rd_r=d4d9bae9-3461-4de3-b496-f3db859bc15f&pd_rd_w=BpI70&pd_rd_wg=sgM8i&pf_rd_p=2149407b-0896-4053-a80d-baa280ae868a&pf_rd_r=AS03EZCR8P61F5G9M8QT&psc=1&refRID=AS03EZCR8P61F5G9M8QT;JN
黒死館殺人事件 (河出文庫);小栗 虫太郎;
小説 言の葉の庭 (角川文庫);新海 誠;また会うかもね。もしかしたら。雨が降ったら―。雨の朝、静かな庭で2人は出会った。靴職人を志す高校生の孝雄と、謎めいた年上の女性・雪野。迷いながらも前に進もうとする2人は、どこへ足を踏み出すのか。圧倒的な支持を受けた劇場アニメーション『言の葉の庭』を、新海誠監督みずから小説化。アニメでは描かれなかった人物やエピソードを多数織り込み、小説版ならではの新たなる作品世界を作り上げた傑作。;https://images-na.ssl-images-amazon.com/images/I/51S2CvHGUrL._SX347_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E5%B0%8F%E8%AA%AC-%E8%A8%80%E3%81%AE%E8%91%89%E3%81%AE%E5%BA%AD-%E8%A7%92%E5%B7%9D%E6%96%87%E5%BA%AB-%E6%96%B0%E6%B5%B7-%E8%AA%A0/dp/4041026156/ref=bmx_35?_encoding=UTF8&pd_rd_i=4041026156&pd_rd_r=c0ec0efe-90cb-4576-9dcb-f095d57b1a18&pd_rd_w=4Yj6K&pd_rd_wg=Mkikr&pf_rd_p=2149407b-0896-4053-a80d-baa280ae868a&pf_rd_r=H2GGCMA02E4ZK6G531E6&psc=1&refRID=H2GGCMA02E4ZK6G531E6;JN
虚無への供物 (講談社文庫);中井 英夫;戦後の推理小説ベスト3に数えられ、闇の世界にひときわ孤高な光芒を放ち屹立する巨篇ついにその姿を現す！井戸の底に潜む3人の兄弟。薔薇と不動と犯罪の神秘な妖かしに彩られた4つの密室殺人は、魂を震撼させる終章の悲劇の完成とともに。漆黒の翼に読者を乗せ、めくるめく反世界へと飛翔する。;https://images-na.ssl-images-amazon.com/images/I/21D9WADQVVL._BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E8%99%9A%E7%84%A1%E3%81%B8%E3%81%AE%E4%BE%9B%E7%89%A9-%E8%AC%9B%E8%AB%87%E7%A4%BE%E6%96%87%E5%BA%AB-%E4%B8%AD%E4%BA%95-%E8%8B%B1%E5%A4%AB/dp/4061360043/ref=sr_1_3?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=%E8%99%9A%E7%84%A1%E3%81%B8%E3%81%AE%E4%BE%9B%E7%89%A9&qid=1603438821&s=books&sr=1-3;JN
ののはな通信;三浦 しをん;横浜で、ミッション系のお壌様学校に通う、野々原茜(のの)と牧田はな。庶民的な家庭で育ち、頭脳明晰、クールで毒舌なののと、外交官の家に生まれ、天真爛漫で甘え上手のはな。二人はなぜか気が合い、かけがえのない親友同士となる。しかし、ののには秘密があった。いつしかはなに抱いた、友情以上の気持ち。それを強烈に自覚し、ののは玉砕覚悟ではなに告白する。不器用にはじまった、密やかな恋。けれどある裏切りによって、少女たちの楽園は、音を立てて崩れはじめ…。運命の恋を経て、少女たちは大人になる。女子の生き方を描いた傑作小説。女子校で出会い、運命の恋を得た少女たちの20年超を、全編書簡形式で紡いだ、女子大河小説の最高峰。;https://images-na.ssl-images-amazon.com/images/I/51lA9iI7deL._SX339_BO1,204,203,200_.jpg;https://www.amazon.co.jp/dp/404101980X/ref=sspa_dk_detail_2?psc=1&pd_rd_i=404101980Xp13NParams&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzQTYzNTZXWk00M01TJmVuY3J5cHRlZElkPUExMDQzOTk2MThPRktCRlUwSVpLVyZlbmNyeXB0ZWRBZElkPUEyQ0FJMlBRSkk0OThTJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==;JN
日本SFの臨界点[怪奇篇] ちまみれ家族 (ハヤカワ文庫JA);伴名 練;「2010年代、世界で最もSFを愛した作家」と称された伴名練が、全身全霊で贈る傑作アンソロジー。日常的に血まみれになってしまう奇妙な家族のドタバタを描いた津原泰水の表題作、中島らもの怪物的なロックノベル「DECO‐CHIN」、幻の第一世代SF作家・光波耀子の「黄金珊瑚」など、幻想・怪奇テーマの隠れた名作11本を精選。全作解題のほか、日本SF短篇史60年を現代の読者へと再接続する渾身の編者解説1万字超を併録。;https://images-na.ssl-images-amazon.com/images/I/512tXSg3R4L._SX337_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E6%97%A5%E6%9C%ACSF%E3%81%AE%E8%87%A8%E7%95%8C%E7%82%B9-%E6%80%AA%E5%A5%87%E7%AF%87-%E3%81%A1%E3%81%BE%E3%81%BF%E3%82%8C%E5%AE%B6%E6%97%8F-%E3%83%8F%E3%83%A4%E3%82%AB%E3%83%AF%E6%96%87%E5%BA%ABJA-%E4%BC%B4%E5%90%8D/dp/4150314411/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1603436573&sr=1-1;JN
舟を編む (光文社文庫);三浦 しをん;出版社の営業部員・馬締光也は、言葉への鋭いセンスを買われ、辞書編集部に引き抜かれた。新しい辞書『大渡海』の完成に向け、彼と編集部の面々の長い長い旅が始まる。定年間近のベテラン編集者。日本語研究に人生を捧げる老学者。辞書作りに情熱を持ち始める同僚たち。そして馬締がついに出会った運命の女性。不器用な人々の思いが胸を打つ本屋大賞受賞作!;https://images-na.ssl-images-amazon.com/images/I/41melSke6TL._SX351_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E8%88%9F%E3%82%92%E7%B7%A8%E3%82%80-%E5%85%89%E6%96%87%E7%A4%BE%E6%96%87%E5%BA%AB-%E4%B8%89%E6%B5%A6-%E3%81%97%E3%82%92%E3%82%93/dp/4334768806/ref=sr_1_3?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=AS752ARPP66H&dchild=1&keywords=%E8%88%B9%E3%82%92%E7%B7%A8%E3%82%80&qid=1603438054&s=books&sprefix=%E8%88%B9%E3%82%92%2Cstripbooks%2C256&sr=1-3;JN
クライマーズ・ハイ (文春文庫);横山 秀夫;1985年、御巣鷹山に未曾有の航空機事故発生。衝立岩登攀を予定していた地元紙の遊軍記者、悠木和雅が全権デスクに任命される。一方、共に登る予定だった同僚は病院に搬送されていた。組織の相剋、親子の葛藤、同僚の謎めいた言葉、報道とは―。あらゆる場面で己を試され篩に掛けられる、著者渾身の傑作長編。;https://images-na.ssl-images-amazon.com/images/I/41GIvGDbhML._SX347_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%9E%E3%83%BC%E3%82%BA%E3%83%BB%E3%83%8F%E3%82%A4-%E6%96%87%E6%98%A5%E6%96%87%E5%BA%AB-%E6%A8%AA%E5%B1%B1-%E7%A7%80%E5%A4%AB/dp/4167659034/ref=bmx_28?_encoding=UTF8&pd_rd_i=4167659034&pd_rd_r=86420523-f7e8-4733-a3e7-eb11b2d16c82&pd_rd_w=NQUX7&pd_rd_wg=yzAJb&pf_rd_p=2149407b-0896-4053-a80d-baa280ae868a&pf_rd_r=TF3P13ER6K7CWF5QDS3A&psc=1&refRID=TF3P13ER6K7CWF5QDS3A;JN
涼宮ハルヒの憂鬱 (角川スニーカー文庫);谷川 流;「ただの人間には興味ありません。この中に宇宙人、未来人、超能力者がいたら、あたしのところに来なさい。以上」。入学早々、ぶっ飛んだ挨拶をかましてくれた涼宮ハルヒ。そんなSF小説じゃあるまいし…と誰でも思うよな。俺も思ったよ。だけどハルヒは心の底から真剣だったんだ。それに気づいたときには俺の日常は、もうすでに超常になっていた―。第8回スニーカー大賞大賞受賞作。;https://images-na.ssl-images-amazon.com/images/I/51MEZAig6qL._SX361_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E6%B6%BC%E5%AE%AE%E3%83%8F%E3%83%AB%E3%83%92%E3%81%AE%E6%86%82%E9%AC%B1-%E8%A7%92%E5%B7%9D%E3%82%B9%E3%83%8B%E3%83%BC%E3%82%AB%E3%83%BC%E6%96%87%E5%BA%AB-%E8%B0%B7%E5%B7%9D-%E6%B5%81/dp/4044292019/ref=bmx_34?_encoding=UTF8&pd_rd_i=4044292019&pd_rd_r=c0ec0efe-90cb-4576-9dcb-f095d57b1a18&pd_rd_w=4Yj6K&pd_rd_wg=Mkikr&pf_rd_p=2149407b-0896-4053-a80d-baa280ae868a&pf_rd_r=H2GGCMA02E4ZK6G531E6&psc=1&refRID=H2GGCMA02E4ZK6G531E6;JN
君は月夜に光り輝く (メディアワークス文庫);佐野 徹夜;大切な人の死から、どこかなげやりに生きてる僕。高校生になった僕のクラスには、「発光病」で入院したままの少女がいた。月の光を浴びると体が淡く光ることからそう呼ばれ、死期が近づくとその光は強くなるらしい。彼女の名前は、渡良瀬まみず。余命わずかな彼女に、死ぬまでにしたいことがあると知り…「それ、僕に手伝わせてくれないかな?」「本当に?」この約束から、止まっていた僕の時間が再び動きはじめた。今を生きるすべての人に届けたい最高のラブストーリー。;https://images-na.ssl-images-amazon.com/images/I/51kNae7J5gL._SX350_BO1,204,203,200_.jpg;https://www.amazon.co.jp/dp/4048926756/ref=sspa_dk_detail_4?psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFPS0NUS1FUMTRXNEkmZW5jcnlwdGVkSWQ9QTAzMjI0ODUzUThCRzVHNUNLRVNXJmVuY3J5cHRlZEFkSWQ9QTM2MkpCRExHUzRYUkEmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl;JN
